codigoEstacao;nomeEstacao;nivelConsistencia;valorMeo;origem_valorMeo;Latitude;Longitude;codigoRio;nomeRio;codigoBacia;nomeBacia;siglaUF;codigoMunicipio;nomeMunicipio;siglaResponsavel;siglaOperadora;statusApi;dtCadastro;dtAtualizacao
64715001;UHE ITAIPU FLORIDA;2;0.0;;-22,972;-54,563;64420000;RIO AMAMBAÍ;6;RIO PARANÁ;MS;28019000;CAARAPÓ;ITAIPU;ITAIPU;True;2024-10-03 22:52:20;2024-10-03 22:52:20
64716980;NAVIRAÍ;2;0.0;;-23,134;-54,197;64420000;RIO AMAMBAÍ;6;RIO PARANÁ;MS;28041000;NAVIRAÍ;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
64717000;NAVIRAI;2;0.0;;-23,132;-54,195;64420000;RIO AMAMBAÍ;6;RIO PARANÁ;MS;28041000;NAVIRAÍ;ANA;SGB-CPRM;True;2024-10-03 22:52:20;2024-10-03 22:52:20
64720000;COLÔNIA BOM JESUS;2;0.0;;-23,429;-54,401;64430000;RIO MARACAIY;6;RIO PARANÁ;MS;28030000;IGUATEMI;ANA;ANA;True;2024-10-03 22:52:20;2024-10-03 22:52:20
64720100;ITAQUIRAI;2;0.0;;-23,391;-54,211;64430000;RIO MARACAIY;6;RIO PARANÁ;MS;28032400;ITAQUIRAI;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
64722900;RIO IGUATEMI;2;0.0;;-23,792;-55,286;64440000;RIO IGUATEMI;6;RIO PARANÁ;MS;28044400;PARANHOS;SEMA-MS;SEMA-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
64723000;PORTO SÃO DOMINGOS;2;0.0;;-23,649;-55,389;64440000;RIO IGUATEMI;6;RIO PARANÁ;MS;28044400;PARANHOS;ANA;SGB-CPRM;True;2024-10-03 22:52:20;2024-10-03 22:52:20
64725000;UHE ITAIPU ESTRADA DO IGUATEMI;2;0.0;;-23,736;-54,539;64440000;RIO IGUATEMI;6;RIO PARANÁ;MS;28033500;JAPORÃ;ITAIPU;ITAIPU;True;2024-10-03 22:52:20;2024-10-03 22:52:20
64725100;RIO IGUATEMI;2;0.0;;-23,732;-54,577;64440000;RIO IGUATEMI;6;RIO PARANÁ;MS;28030000;IGUATEMI;SEMA-MS;SEMA-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
64725200;RIO IGUATEMI;2;0.0;;-23,893;-54,998;64440000;RIO IGUATEMI;6;RIO PARANÁ;MS;28052800;SETE QUEDAS;SEMA-MS;SEMA-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
65141300;CÓRREGO RONDINHA;2;0.0;;-20,081;-51,058;65141300;RIO RONDINHA;6;RIO PARANÁ;MS;28007000;APARECIDA DO TABOADO;SEMA-MS;SEMA-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66126000;PERTO DE BELA VISTA DO NORTE;2;0.0;;-17,518;-57,791;66215000;LAGOA UBERABA;6;RIO PARANÁ;MS;28022000;CORUMBÁ;DNOS;DNOS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66130000;PERTO DE BELA VISTA DO NORTE;2;0.0;;-17,75;-57,7;66216000;LAGOA GAÍBA;6;RIO PARANÁ;MS;28022000;CORUMBÁ;ANA;ANA;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66132000;REFUGIO DAS TRÊS BOCAS;2;0.0;;-17,867;-57,433;66001000;RIO PARAGUAI;6;RIO PARANÁ;MS;28022000;CORUMBÁ;ANA;ANA;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66410100;JARDIM;2;0.0;;-21,293;-56,229;66420500;RIO DA PRATA;6;RIO PARANÁ;MS;28035000;JARDIM;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66410150;JARDIM;2;0.0;;-21,438;-56,469;66420500;RIO DA PRATA;6;RIO PARANÁ;MS;28035000;JARDIM;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66410200;JARDIM;2;0.0;;-21,424;-56,597;66420500;RIO DA PRATA;6;RIO PARANÁ;MS;28035000;JARDIM;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66421000;BONITO;2;0.0;;-20,973;-56,547;66421010;RIO MIMOSO;6;RIO PARANÁ;MS;28014000;BONITO;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
